101.3,_00518591-dbd0-441b-93fb-8e09c79fbe30
100.3,_00c188aa-181e-47c9-9964-278d19a91160
57.1,_022e0a13-af77-4c19-b10c-34c70df2cc97
7.1,_02310d12-71bd-44bd-a5e6-ab4c5f712c07
39.2,_02724312-20dc-4e69-9d6f-289b09715984
92.3,_03bad71c-5a60-4497-8f51-1cd5e3a8e4a2
610.2,_0577531b-1b80-45d3-976e-6dac9936f8b2
7.2,_0581b5f1-2b78-4d16-8b27-9961af37adf6
102.3,_05adcae6-8125-4b90-9329-f5aeea3745b1
41.3,_067e998f-28d2-497b-88da-77b02a00e986
43.2,_0755dd86-15a2-46a4-9a50-9aef75e8bb1d
53.1,_08290604-98ef-4130-b66b-4bf917e17bc3
63.2,_083b4997-dd6f-43ea-a256-00e72430f291
67.3,_08cccdc5-f582-4e5c-875e-b69d2eb463ff
9.1,_09c2aeb3-1cf6-4659-93a7-04c88792a384
92.3,_09fec54a-00d8-4e16-82c8-f4746ef9e7b8
62.3,_0a574ad7-2ccb-4670-afda-5bea3670586c
135.3,_0a8695b9-88d0-4eef-a35b-fb5a8ae7fe89
450.2,_0ab58d71-dd5b-44b9-8a87-ce6a57a5633b
149.2,_0f2138fc-48d7-46e5-9751-622d563e945a
64.1,_10135178-b3d8-4e01-9b8e-7fdccf6802ee
12.2,_108f2699-fe46-4adb-9d69-93ca359e482e
152.3,_10c03ce8-f57a-4d4b-8479-069da135a71c
11.1,_110d0511-4630-46fc-8b33-e3389b947fc5
50.3,_120bb97e-8c6a-4078-aa55-ba4ca38ce3c6
56.3,_12d80ead-4dd1-4c31-bd37-2c237ceaf9bb
54.1,_131c5c03-efd9-4791-8a42-1b35b574c012
35.2,_1357dba3-38ae-44d6-ad51-07072778d143
4.3,_140ca2c3-cedf-4deb-b33d-4d9d9d01cff2
27.1,_14873f34-68b5-42a5-b76e-ea5e34c930a5
1.1,_14d8dacc-f99a-4e53-8596-322e18b5e65f
9.1,_15903853-ee98-4119-8378-49c8926b782c
39.2,_15ada20c-d847-4181-b45b-55da8b99d9db
99.3,_15f4d3e5-d554-4f88-9456-c43cceaffd72
105.1,_175b3c56-138a-46da-a4b8-10aa16e6fe2a
26.1,_17de099b-49eb-49bb-9686-b221daab68a2
86.2,_186ca05a-8aac-49e7-8dfc-137008cd6219
93.1,_1a9abd3c-9a9b-460b-91ee-3a5bb2c4ff3f
25.1,_1b8a39e3-4a02-44ae-ad65-01b75c2a855c
56.1,_1c2181a6-628a-4de7-a71c-0a88ff468990
150R.3,_1c88eede-46a5-40f9-acea-3d31fb12079d
98.1,_1cb1995c-badc-4084-a43a-454015bbba36
47.3,_1cd3aca4-c63b-4977-a46a-62ad2e1a887c
52.1,_1d0186bf-c31e-4333-9042-7e77c8cf5a29
71.1,_1e155b5e-db53-479f-af25-d8fdd71ebbed
67.2,_1f696eb0-d0f2-4d34-9211-563dfcb175d9
77.3,_20721ebd-632c-44e7-a080-9c680a31608b
82.2,_2089c487-8c21-4889-ab43-9469759a03c2
109.1,_20abcff0-7bdc-49ec-b7f6-de6e84ae6135
112.1,_212038af-4766-433e-bf9c-f5f7ab4bf097
94.1,_215c3761-05d6-4296-bda4-4981f4459d6e
65.3,_220e47d5-60f9-4f82-b5b2-711e43de531e
40.2,_228b1461-db62-40bc-b8d0-de78dd89b9bc
86.2,_2418b17a-d1a7-483f-8e99-944dcd8566ec
34.3,_24337b94-be5e-445a-9522-20d16ef3e632
54.2,_256d2717-24e7-4ddb-b109-4e5ba7837758
160.2,_25a9e2d5-2225-49ad-b266-bf1dddbb7c5e
105.3,_25fab112-af07-4e93-8fe4-26ee06c87b11
112.1,_26f8935e-642f-46f7-b602-6d8390064359
38.2,_27efffae-1bb6-48a7-bed6-be2bdb827688
88.1,_284113bb-3a66-409f-9d16-c29677b7ad0f
65.2,_286e1c53-ca7d-47d2-b59b-efd80370da8c
95.1,_290ac47b-8ba7-44f3-a059-2710fcfdbbc7
50.1,_2a9b4d23-d8b0-40b1-bd26-b3773a1bf82e
197.2,_2b9f6752-ef19-4d8a-8d55-71287eefb174
160R.1,_2bbd22b4-daa7-4a56-8f26-254c7ad6ee03
89.3,_2bd6e032-f4eb-4f52-b1f2-aefd318110da
450.1,_2c6a6fb9-412a-4892-84e4-622e8185514f
61.3,_2e977e74-0bae-4f86-8aaa-1002167847cb
64.2,_2fe24385-1bc5-4c4d-b7e5-a3e93939d7db
28.2,_3109c76e-a6aa-4f4f-a69f-10b4019d80b9
42.1,_31770b82-0553-405b-a32e-42703124d769
88.1,_33dab0b7-ed68-48a3-9888-6588a691200e
33.1,_341af392-d98f-4d72-a888-3c5148b1e674
5.3,_34a292ab-a5b3-47b6-bb4b-17dd6fa5d8c0
76.1,_34f214aa-9d28-4190-a3a8-196853668b4d
14.1,_3521fe4f-7506-46e9-946e-2c1c442b8a2d
300.3,_356750e9-84a5-4315-b8b7-e2a51b0253f9
59.2,_374ea593-b9f8-41ef-a757-581cb87fdde0
77.1,_37b2adc2-4702-45ac-868f-7f9be9a32b84
59.2,_38d281ff-2629-467f-84de-07b378a070f9
114.1,_38f6b73f-84e5-44b4-aa0b-68f556d0df1a
61.2,_3972ddb1-7d32-475d-9bdf-febbb57425f7
57.2,_3a4caa38-b1df-459c-8ae1-160ad512594d
61S.2,_3a6e133f-dfac-4758-9826-12c52b207394
47.1,_3be7b410-fba8-4d71-9301-1d53250e0fc2
150.1,_3bfda34f-4a80-4eaa-88b7-0a8a3dca06c8
65.1,_3c639b06-2e7d-480e-aea9-b1a909924324
23.3,_3c8e0c8e-0fd7-4899-9ac8-2a58170e5347
29.1,_3d74e66b-d77e-43ca-bfea-7b8cc4d34c4c
51.1,_3d9901b1-f7d7-46e2-9cd0-f7e000b3f47e
152.1,_3df31880-169c-4c05-928d-797b9173f63e
107.2,_3dfa3c0e-bfe3-4387-8260-a6b3883c5386
37.1,_3e79d19c-af6e-4c34-85b3-87e62c4c048a
20.1,_3f44e03b-0e46-4205-9d66-8530bb42c029
300.2,_3f7aae21-a954-4c97-864e-452579dbd0f4
9R.1,_3f968f8a-2872-4a1d-bf37-0a92eacaeb3d
62.1,_41c3401b-9e7b-4004-bb39-6293bedc8837
24.3,_41c8ccd2-31dd-46ab-9be7-8b9810372869
65.2,_425c5cb5-f8a7-4373-8bbf-59283065c40a
80.3,_4284ce8c-1459-4135-9897-8adc3c54c125
70.1,_43475db8-e168-4264-b5ec-c7b24f2e067e
82.3,_434f3bc8-8953-42f2-8ec9-503511060f29
40.3,_43ada01f-deb9-469a-958f-498bdf3c9665
37.1,_442ad611-28bc-40ac-b0e8-ee99c1d484a6
87.2,_44de3aa3-0269-4bfa-a32b-c5d11f9cbde5
22.2,_44ff0672-5bb0-4646-ae31-4662212eab41
19.1,_45368204-b942-4587-87c5-a20657799982
36.2,_4571633a-676a-470a-8e12-e548068947a4
8.3,_46da5e93-c8db-45fb-bab1-bc503d54a419
103.3,_46fc80ef-4ae3-4130-b836-eb4f6e90fc72
105.2,_47c709ae-b714-4e97-a24e-9b54eebe3097
33.1,_494cc547-e81a-4444-a38a-6c361ef5446c
96.2,_4971d69a-5f09-4c8e-8635-3ce598bd27f3
63.1,_4a11dc38-f591-41e2-b83e-006ecb981c3f
100.2,_4ac39e89-fc05-4ec5-9580-f78707b42fcd
30.3,_4afb2a4e-e098-4118-84da-ddcf989927fd
13.3,_4b6d521a-95be-4288-a450-f288ab9dc4b8
197.3,_4b718362-ff49-4cbf-89dd-497b9e29fc1e
78.3,_4bb96865-b121-4951-b410-e78dc9fab2ea
